Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GB3AA B,145.662500,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
1,GB3AC B,430.975000,+,7.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
2,GB3AW N,433.250000,+,1.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
3,GB3BS B,430.850000,+,7.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
4,GB3CG G,145.725000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
5,GB3DI D,433.150000,+,1.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
6,GB3DR W,145.737500,-,0.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
7,GB3DT S,433.000000,+,1.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
8,GB3EH B,430.962500,+,7.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
9,GB3EW E,145.612500,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
10,GB3EX E,430.950000,+,7.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
11,GB3FI C,430.925000,+,7.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
12,ALLSTAR,434.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
15,GB3GH G,433.125000,+,1.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
16,GB3HC H,433.150000,+,1.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
17,GB3JB S,145.787500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
18,GB3NE N,145.762500,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
21,GB3NW W,145.625000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
22,GB3RH A,433.275000,+,1.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
23,GB3SD W,433.350000,+,1.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
24,GB3SW S,145.712500,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
25,GB3TD S,438.387500,-,7.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
26,GB3TR T,145.650000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
27,GB3UB B,433.100000,+,1.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
29,GB3VS T,433.075000,+,1.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
30,GB3WH S,145.650000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
31,GB3WR B,145.600000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
32,GB3WU W,430.825000,+,7.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
33,GB3ZA H,145.737500,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
34,GB7CM B,145.700000,-,0.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
35,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
36,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
37,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
38,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
39,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
40,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
41,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
42,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
44,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
45,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
47,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
49,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
50,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
51,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
52,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
53,PMR 9,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,8.0W,,,,,
56,S16,145.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
